,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3 hrs),Snow inches (last 3 hrs)
473,Iquitos,PE,2020-04-19 18:28:33,-3.75,-73.25,86.0,66,75,3.36,broken clouds,0.0,0.35
474,Mount Gambier,AU,2020-04-19 18:25:56,-37.83,140.77,60.8,77,90,16.11,light intensity shower rain,0.0,0.35
475,Itarema,BR,2020-04-19 18:28:34,-2.92,-39.92,82.78,81,64,6.42,light rain,2.72,0.35
476,Naze,JP,2020-04-19 18:25:10,28.37,129.48,73.4,88,90,14.99,overcast clouds,0.0,0.35
477,Oksfjord,NO,2020-04-19 18:28:34,70.24,22.35,39.99,100,75,20.8,shower rain,0.0,0.35
478,Djibo,BF,2020-04-19 18:28:34,14.1,-1.63,93.99,32,89,10.74,light rain,0.37,0.35
479,Vila,PT,2020-04-19 18:28:34,42.03,-8.16,59.0,76,20,9.17,few clouds,0.0,0.35
480,Buin,CL,2020-04-19 18:28:35,-33.73,-70.75,82.4,30,0,5.82,clear sky,0.0,0.35
481,Newport,GB,2020-04-19 18:24:55,51.59,-3.0,59.0,60,34,1.99,scattered clouds,0.0,0.35
482,Pingzhuang,CN,2020-04-19 18:28:35,42.04,119.29,40.24,53,77,27.87,light snow,0.0,0.14
483,Skiathos,GR,2020-04-19 18:28:35,39.16,23.49,68.0,77,100,3.36,overcast clouds,0.0,0.14
484,Samarai,PG,2020-04-19 18:28:36,-10.62,150.67,79.99,82,8,4.43,clear sky,0.0,0.14
485,Suyan,PH,2020-04-19 18:28:36,6.06,125.39,76.53,74,97,3.15,overcast clouds,0.0,0.14
486,Hambantota,LK,2020-04-19 18:24:37,6.12,81.12,82.72,81,99,8.77,light rain,0.84,0.14
487,Mantova,IT,2020-04-19 18:28:36,45.17,10.78,70.0,59,100,1.99,overcast clouds,0.0,0.14
488,Victoria Point,AU,2020-04-19 18:28:37,-27.58,153.3,64.0,71,0,8.08,clear sky,0.0,0.14
489,Presidencia Roque Saenz Pena,AR,2020-04-19 18:28:37,-26.79,-60.44,87.55,25,0,4.27,clear sky,0.0,0.14
490,Varhaug,NO,2020-04-19 18:28:37,58.61,5.65,51.01,76,0,8.05,clear sky,0.0,0.14
491,Mahibadhoo,MV,2020-04-19 18:28:38,3.78,72.97,85.48,76,58,10.92,light rain,0.23,0.14
492,Gulbarga,IN,2020-04-19 18:28:39,17.33,76.83,86.59,29,40,7.02,scattered clouds,0.0,0.14
493,Yarmouth,US,2020-04-19 18:25:26,41.71,-70.23,55.4,47,1,25.28,clear sky,0.0,0.14
494,Yangjiang,CN,2020-04-19 18:28:39,21.85,111.97,73.42,92,29,4.54,scattered clouds,0.0,0.14
495,Buraydah,SA,2020-04-19 18:28:39,26.33,43.98,77.0,47,20,11.41,few clouds,0.0,0.14
496,Tautira,PF,2020-04-19 18:28:39,-17.73,-149.15,84.2,66,95,2.24,light rain,0.41,0.14
497,Sistranda,NO,2020-04-19 18:28:40,63.73,8.83,42.8,81,20,11.41,few clouds,0.0,0.14
498,Ojinaga,MX,2020-04-19 18:28:40,29.57,-104.42,80.6,14,1,13.87,clear sky,0.0,0.14
499,Kostomuksha,RU,2020-04-19 18:28:40,64.57,30.58,32.32,89,95,6.51,overcast clouds,0.0,0.14
500,Merauke,ID,2020-04-19 18:28:40,-8.47,140.33,77.09,90,47,8.01,scattered clouds,0.0,0.14
501,Port Hedland,AU,2020-04-19 18:28:41,-20.32,118.57,77.0,94,92,5.82,overcast clouds,0.0,0.14
502,Carora,VE,2020-04-19 18:28:41,10.18,-70.08,91.51,36,46,3.11,light rain,0.92,0.14
503,Saint-Paul,RE,2020-04-19 18:28:41,-21.01,55.27,75.2,78,20,14.99,few clouds,0.0,0.14
504,Eidfjord,NO,2020-04-19 18:28:41,60.47,7.07,42.53,64,1,1.72,clear sky,0.0,0.14
505,Mezen,RU,2020-04-19 18:28:41,65.85,44.24,32.11,98,100,5.19,light snow,0.0,0.47
506,Aykhal,RU,2020-04-19 18:25:03,66.0,111.5,19.4,52,0,4.12,clear sky,0.0,0.47
507,Crestview,US,2020-04-19 18:28:42,30.76,-86.57,84.2,62,20,16.11,few clouds,0.0,0.47
508,Saint-Leu,RE,2020-04-19 18:28:42,-21.15,55.28,77.0,78,51,18.34,light rain,0.18,0.47
509,Aurillac,FR,2020-04-19 18:28:42,44.92,2.45,57.2,100,100,1.48,light rain,0.79,0.47
510,Ballina,AU,2020-04-19 18:24:09,-28.87,153.57,63.0,100,0,6.93,clear sky,0.0,0.47
511,Tortoli,IT,2020-04-19 18:28:43,39.93,9.66,62.6,100,90,3.36,mist,0.0,0.47
512,Bengkulu,ID,2020-04-19 18:28:43,-3.8,102.27,78.82,81,100,3.74,overcast clouds,0.0,0.47
513,Lujan,AR,2020-04-19 18:28:43,-34.57,-59.1,80.01,48,1,4.0,clear sky,0.0,0.47
514,Betsiamites,CA,2020-04-19 18:28:43,48.94,-68.65,42.8,48,75,6.93,broken clouds,0.0,0.47
515,Acarau,BR,2020-04-19 18:28:44,-2.89,-40.12,82.76,82,77,6.06,light rain,2.43,0.47
516,Chapais,CA,2020-04-19 18:28:44,49.78,-74.85,21.2,73,90,11.41,light snow,0.0,0.47
517,Asfi,MA,2020-04-19 18:28:44,32.3,-9.24,64.99,67,7,14.65,clear sky,0.0,0.47
518,Beringovskiy,RU,2020-04-19 18:25:24,63.05,179.32,16.25,96,100,15.46,light snow,0.0,0.63
519,Zhigansk,RU,2020-04-19 18:24:42,66.77,123.37,12.16,94,76,9.31,broken clouds,0.0,0.63
520,Storsteinnes,NO,2020-04-19 18:28:45,69.24,19.23,39.2,86,75,28.86,light rain,0.0,0.63
521,Rocha,UY,2020-04-19 18:28:45,-34.48,-54.33,74.19,57,0,8.59,clear sky,0.0,0.63
522,Baherden,TM,2020-04-19 18:28:45,38.44,57.43,73.24,26,4,5.88,clear sky,0.0,0.63
523,Abha,SA,2020-04-19 18:28:46,18.22,42.51,66.2,82,99,2.04,light rain,0.45,0.63
524,Thinadhoo,MV,2020-04-19 18:28:46,0.53,72.93,85.08,76,72,12.17,broken clouds,0.0,0.63
525,Buckeye,US,2020-04-19 18:28:46,33.37,-112.58,75.99,35,1,5.82,clear sky,0.0,0.63
526,El Dorado,US,2020-04-19 18:28:46,33.21,-92.67,60.8,100,90,8.05,thunderstorm with light rain,0.0,0.63
527,Tual,ID,2020-04-19 18:28:46,-5.67,132.75,83.89,71,79,4.45,broken clouds,0.0,0.63
528,Sihor,IN,2020-04-19 18:28:47,21.7,71.97,87.06,29,98,9.31,overcast clouds,0.0,0.63
529,Kiunga,PG,2020-04-19 18:28:47,-6.12,141.29,74.07,97,98,0.34,moderate rain,4.28,0.63
530,Diamantino,BR,2020-04-19 18:28:47,-14.41,-56.45,86.09,56,29,3.74,light rain,0.22,0.63
531,Ilo,PE,2020-04-19 18:28:47,-17.64,-71.34,73.36,59,2,7.43,clear sky,0.0,0.63
532,Toora-Khem,RU,2020-04-19 18:25:31,52.47,96.11,32.99,55,0,2.01,clear sky,0.0,0.63
533,Srednekolymsk,RU,2020-04-19 18:25:26,67.45,153.68,-8.01,89,5,6.96,clear sky,0.0,0.63
534,Narasannapeta,IN,2020-04-19 18:28:48,18.42,84.05,80.67,66,100,2.51,overcast clouds,0.0,0.63
535,Xuddur,SO,2020-04-19 18:28:48,4.12,43.89,79.97,58,98,6.76,light rain,1.32,0.63
536,Sokolo,ML,2020-04-19 18:28:48,14.73,-6.12,99.9,18,96,11.9,overcast clouds,0.0,0.63
537,Okoneshnikovo,RU,2020-04-19 18:28:49,54.84,75.08,52.32,74,54,10.07,broken clouds,0.0,0.63
538,Goderich,CA,2020-04-19 18:25:43,43.75,-81.72,39.0,86,98,15.59,light rain,0.64,0.63
539,Lujiang,CN,2020-04-19 18:28:51,31.26,117.28,60.01,100,97,6.71,mist,0.0,0.63
540,Dunshaughlin,IE,2020-04-19 18:28:51,53.51,-6.54,50.0,66,20,11.41,few clouds,0.0,0.63
541,Shakhovskaya,RU,2020-04-19 18:28:51,56.03,35.51,35.4,78,99,6.17,light rain,0.47,0.63
542,Tateyama,JP,2020-04-19 18:28:51,34.98,139.87,51.01,79,100,1.01,overcast clouds,0.0,0.63
543,Gold Coast,AU,2020-04-19 18:28:52,-28.0,153.43,59.0,93,0,1.12,clear sky,0.0,0.63
544,Olafsvik,IS,2020-04-19 18:28:52,64.89,-23.71,43.11,95,100,14.32,moderate rain,4.17,0.63
545,Robertsport,LR,2020-04-19 18:28:52,6.75,-11.37,83.16,73,100,6.58,light rain,0.18,0.63
546,Conde,BR,2020-04-19 18:28:53,-7.26,-34.91,84.2,79,20,11.41,few clouds,0.0,0.63
547,San Quintin,MX,2020-04-19 18:28:53,30.48,-115.95,63.99,63,99,15.23,overcast clouds,0.0,0.63
548,Soyo,AO,2020-04-19 18:28:53,-6.13,12.37,81.41,80,84,3.94,light rain,0.22,0.63
549,Ketchikan,US,2020-04-19 18:23:06,55.34,-131.65,44.6,93,90,16.11,overcast clouds,0.0,0.63
550,Bardsir,IR,2020-04-19 18:28:54,29.92,56.57,57.2,54,40,5.01,scattered clouds,0.0,0.63
551,Middle Island,US,2020-04-19 18:28:54,40.88,-72.94,57.0,47,1,16.11,clear sky,0.0,0.63
552,Praya,CV,2020-04-19 18:28:54,14.92,-23.51,78.8,57,40,20.8,scattered clouds,0.0,0.63
553,Cap Malheureux,MU,2020-04-19 18:25:28,-19.98,57.61,77.0,83,75,9.17,broken clouds,0.0,0.63
554,Prescott Valley,US,2020-04-19 18:28:00,34.59,-112.33,66.0,38,75,9.06,broken clouds,0.0,0.63
555,Melilla,ES,2020-04-19 18:26:01,35.29,-2.94,68.0,63,48,19.46,scattered clouds,0.0,0.63
